schema_name,relation_name,ordinal_position,column_name,data_type,is_nullable,column_default,identity_kind,generated_kind
auth,audit_log_entries,1,instance_id,uuid,t,,,
auth,audit_log_entries,2,id,uuid,f,,,
auth,audit_log_entries,3,payload,json,t,,,
auth,audit_log_entries,4,created_at,timestamp with time zone,t,,,
auth,audit_log_entries,5,ip_address,character varying(64),f,''::character varying,,
auth,custom_oauth_providers,1,id,uuid,f,gen_random_uuid(),,
auth,custom_oauth_providers,2,provider_type,text,f,,,
auth,custom_oauth_providers,3,identifier,text,f,,,
auth,custom_oauth_providers,4,name,text,f,,,
auth,custom_oauth_providers,5,client_id,text,f,,,
auth,custom_oauth_providers,6,client_secret,text,f,,,
auth,custom_oauth_providers,7,acceptable_client_ids,text[],f,'{}'::text[],,
auth,custom_oauth_providers,8,scopes,text[],f,'{}'::text[],,
auth,custom_oauth_providers,9,pkce_enabled,boolean,f,true,,
auth,custom_oauth_providers,10,attribute_mapping,jsonb,f,'{}'::jsonb,,
auth,custom_oauth_providers,11,authorization_params,jsonb,f,'{}'::jsonb,,
auth,custom_oauth_providers,12,enabled,boolean,f,true,,
auth,custom_oauth_providers,13,email_optional,boolean,f,false,,
auth,custom_oauth_providers,14,issuer,text,t,,,
auth,custom_oauth_providers,15,discovery_url,text,t,,,
auth,custom_oauth_providers,16,skip_nonce_check,boolean,f,false,,
auth,custom_oauth_providers,17,cached_discovery,jsonb,t,,,
auth,custom_oauth_providers,18,discovery_cached_at,timestamp with time zone,t,,,
auth,custom_oauth_providers,19,authorization_url,text,t,,,
auth,custom_oauth_providers,20,token_url,text,t,,,
auth,custom_oauth_providers,21,userinfo_url,text,t,,,
auth,custom_oauth_providers,22,jwks_uri,text,t,,,
auth,custom_oauth_providers,23,created_at,timestamp with time zone,f,now(),,
auth,custom_oauth_providers,24,updated_at,timestamp with time zone,f,now(),,
auth,custom_oauth_providers,25,custom_claims_allowlist,text[],f,'{}'::text[],,
auth,flow_state,1,id,uuid,f,,,
auth,flow_state,2,user_id,uuid,t,,,
auth,flow_state,3,auth_code,text,t,,,
auth,flow_state,4,code_challenge_method,auth.code_challenge_method,t,,,
auth,flow_state,5,code_challenge,text,t,,,
auth,flow_state,6,provider_type,text,f,,,
auth,flow_state,7,provider_access_token,text,t,,,
auth,flow_state,8,provider_refresh_token,text,t,,,
auth,flow_state,9,created_at,timestamp with time zone,t,,,
auth,flow_state,10,updated_at,timestamp with time zone,t,,,
auth,flow_state,11,authentication_method,text,f,,,
auth,flow_state,12,auth_code_issued_at,timestamp with time zone,t,,,
auth,flow_state,13,invite_token,text,t,,,
auth,flow_state,14,referrer,text,t,,,
auth,flow_state,15,oauth_client_state_id,uuid,t,,,
auth,flow_state,16,linking_target_id,uuid,t,,,
auth,flow_state,17,email_optional,boolean,f,false,,
auth,identities,1,provider_id,text,f,,,
auth,identities,2,user_id,uuid,f,,,
auth,identities,3,identity_data,jsonb,f,,,
auth,identities,4,provider,text,f,,,
auth,identities,5,last_sign_in_at,timestamp with time zone,t,,,
auth,identities,6,created_at,timestamp with time zone,t,,,
auth,identities,7,updated_at,timestamp with time zone,t,,,
auth,identities,8,email,text,t,lower((identity_data ->> 'email'::text)),,s
auth,identities,9,id,uuid,f,gen_random_uuid(),,
auth,instances,1,id,uuid,f,,,
auth,instances,2,uuid,uuid,t,,,
auth,instances,3,raw_base_config,text,t,,,
auth,instances,4,created_at,timestamp with time zone,t,,,
auth,instances,5,updated_at,timestamp with time zone,t,,,
auth,mfa_amr_claims,1,session_id,uuid,f,,,
auth,mfa_amr_claims,2,created_at,timestamp with time zone,f,,,
auth,mfa_amr_claims,3,updated_at,timestamp with time zone,f,,,
auth,mfa_amr_claims,4,authentication_method,text,f,,,
auth,mfa_amr_claims,5,id,uuid,f,,,
auth,mfa_challenges,1,id,uuid,f,,,
auth,mfa_challenges,2,factor_id,uuid,f,,,
auth,mfa_challenges,3,created_at,timestamp with time zone,f,,,
auth,mfa_challenges,4,verified_at,timestamp with time zone,t,,,
auth,mfa_challenges,5,ip_address,inet,f,,,
