schema_name,table_name,constraint_name,constraint_type,definition,is_validated,is_deferrable,initially_deferred
auth,audit_log_entries,audit_log_entries_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_authorization_url_https,check,CHECK (authorization_url IS NULL OR authorization_url ~~ 'https://%'::text),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_authorization_url_length,check,CHECK (authorization_url IS NULL OR char_length(authorization_url) <= 2048),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_client_id_length,check,CHECK (char_length(client_id) >= 1 AND char_length(client_id) <= 512),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_discovery_url_length,check,CHECK (discovery_url IS NULL OR char_length(discovery_url) <= 2048),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_identifier_format,check,"CHECK (identifier ~ '^[a-z0-9][a-z0-9:-]{0,48}[a-z0-9]$'::text)",t,f,f
auth,custom_oauth_providers,custom_oauth_providers_issuer_length,check,CHECK (issuer IS NULL OR char_length(issuer) >= 1 AND char_length(issuer) <= 2048),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_jwks_uri_https,check,CHECK (jwks_uri IS NULL OR jwks_uri ~~ 'https://%'::text),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_jwks_uri_length,check,CHECK (jwks_uri IS NULL OR char_length(jwks_uri) <= 2048),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_name_length,check,CHECK (char_length(name) >= 1 AND char_length(name) <= 100),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_oauth2_requires_endpoints,check,CHECK (provider_type <> 'oauth2'::text OR authorization_url IS NOT NULL AND token_url IS NOT NULL AND userinfo_url IS NOT NULL),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_oidc_discovery_url_https,check,CHECK (provider_type <> 'oidc'::text OR discovery_url IS NULL OR discovery_url ~~ 'https://%'::text),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_oidc_issuer_https,check,CHECK (provider_type <> 'oidc'::text OR issuer IS NULL OR issuer ~~ 'https://%'::text),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_oidc_requires_issuer,check,CHECK (provider_type <> 'oidc'::text OR issuer IS NOT NULL),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_provider_type_check,check,"CHECK (provider_type = ANY (ARRAY['oauth2'::text, 'oidc'::text]))",t,f,f
auth,custom_oauth_providers,custom_oauth_providers_token_url_https,check,CHECK (token_url IS NULL OR token_url ~~ 'https://%'::text),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_token_url_length,check,CHECK (token_url IS NULL OR char_length(token_url) <= 2048),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_userinfo_url_https,check,CHECK (userinfo_url IS NULL OR userinfo_url ~~ 'https://%'::text),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_userinfo_url_length,check,CHECK (userinfo_url IS NULL OR char_length(userinfo_url) <= 2048),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,custom_oauth_providers,custom_oauth_providers_identifier_key,unique,UNIQUE (identifier),t,f,f
auth,flow_state,flow_state_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,identities,identities_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
auth,identities,identities_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,identities,identities_provider_id_provider_unique,unique,"UNIQUE (provider_id, provider)",t,f,f
auth,instances,instances_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,mfa_amr_claims,mfa_amr_claims_session_id_fkey,foreign_key,FOREIGN KEY (session_id) REFERENCES auth.sessions(id) ON DELETE CASCADE,t,f,f
auth,mfa_amr_claims,amr_id_pk,primary_key,PRIMARY KEY (id),t,f,f
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,unique,"UNIQUE (session_id, authentication_method)",t,f,f
auth,mfa_challenges,mfa_challenges_auth_factor_id_fkey,foreign_key,FOREIGN KEY (factor_id) REFERENCES auth.mfa_factors(id) ON DELETE CASCADE,t,f,f
auth,mfa_challenges,mfa_challenges_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,mfa_factors,mfa_factors_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
auth,mfa_factors,mfa_factors_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,mfa_factors,mfa_factors_last_challenged_at_key,unique,UNIQUE (last_challenged_at),t,f,f
auth,oauth_authorizations,oauth_authorizations_authorization_code_length,check,CHECK (char_length(authorization_code) <= 255),t,f,f
auth,oauth_authorizations,oauth_authorizations_code_challenge_length,check,CHECK (char_length(code_challenge) <= 128),t,f,f
auth,oauth_authorizations,oauth_authorizations_expires_at_future,check,CHECK (expires_at > created_at),t,f,f
auth,oauth_authorizations,oauth_authorizations_nonce_length,check,CHECK (char_length(nonce) <= 255),t,f,f
auth,oauth_authorizations,oauth_authorizations_redirect_uri_length,check,CHECK (char_length(redirect_uri) <= 2048),t,f,f
auth,oauth_authorizations,oauth_authorizations_resource_length,check,CHECK (char_length(resource) <= 2048),t,f,f
auth,oauth_authorizations,oauth_authorizations_scope_length,check,CHECK (char_length(scope) <= 4096),t,f,f
auth,oauth_authorizations,oauth_authorizations_state_length,check,CHECK (char_length(state) <= 4096),t,f,f
auth,oauth_authorizations,oauth_authorizations_client_id_fkey,foreign_key,FOREIGN KEY (client_id) REFERENCES auth.oauth_clients(id) ON DELETE CASCADE,t,f,f
auth,oauth_authorizations,oauth_authorizations_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
auth,oauth_authorizations,oauth_authorizations_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,oauth_authorizations,oauth_authorizations_authorization_code_key,unique,UNIQUE (authorization_code),t,f,f
auth,oauth_authorizations,oauth_authorizations_authorization_id_key,unique,UNIQUE (authorization_id),t,f,f
auth,oauth_client_states,oauth_client_states_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,oauth_clients,oauth_clients_client_name_length,check,CHECK (char_length(client_name) <= 1024),t,f,f
auth,oauth_clients,oauth_clients_client_uri_length,check,CHECK (char_length(client_uri) <= 2048),t,f,f
auth,oauth_clients,oauth_clients_logo_uri_length,check,CHECK (char_length(logo_uri) <= 2048),t,f,f
auth,oauth_clients,oauth_clients_token_endpoint_auth_method_check,check,"CHECK (token_endpoint_auth_method = ANY (ARRAY['client_secret_basic'::text, 'client_secret_post'::text, 'none'::text]))",t,f,f
auth,oauth_clients,oauth_clients_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,oauth_consents,oauth_consents_revoked_after_granted,check,CHECK (revoked_at IS NULL OR revoked_at >= granted_at),t,f,f
auth,oauth_consents,oauth_consents_scopes_length,check,CHECK (char_length(scopes) <= 2048),t,f,f
auth,oauth_consents,oauth_consents_scopes_not_empty,check,CHECK (char_length(TRIM(BOTH FROM scopes)) > 0),t,f,f
auth,oauth_consents,oauth_consents_client_id_fkey,foreign_key,FOREIGN KEY (client_id) REFERENCES auth.oauth_clients(id) ON DELETE CASCADE,t,f,f
auth,oauth_consents,oauth_consents_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
auth,oauth_consents,oauth_consents_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,oauth_consents,oauth_consents_user_client_unique,unique,"UNIQUE (user_id, client_id)",t,f,f
auth,one_time_tokens,one_time_tokens_token_hash_check,check,CHECK (char_length(token_hash) > 0),t,f,f
auth,one_time_tokens,one_time_tokens_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
auth,one_time_tokens,one_time_tokens_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,refresh_tokens,refresh_tokens_session_id_fkey,foreign_key,FOREIGN KEY (session_id) REFERENCES auth.sessions(id) ON DELETE CASCADE,t,f,f
auth,refresh_tokens,refresh_tokens_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,refresh_tokens,refresh_tokens_token_unique,unique,UNIQUE (token),t,f,f
auth,saml_providers,entity_id not empty,check,CHECK (char_length(entity_id) > 0),t,f,f
auth,saml_providers,metadata_url not empty,check,CHECK (metadata_url = NULL::text OR char_length(metadata_url) > 0),t,f,f
