schema_name,table_name,column_name,data_type,is_nullable,estimated_rows
auth,audit_log_entries,instance_id,uuid,t,1147
auth,custom_oauth_providers,client_id,text,f,-1
auth,flow_state,linking_target_id,uuid,t,2
auth,flow_state,oauth_client_state_id,uuid,t,2
auth,flow_state,user_id,uuid,t,2
auth,identities,provider_id,text,f,40
auth,oauth_authorizations,authorization_id,text,f,-1
auth,refresh_tokens,instance_id,uuid,t,280
auth,refresh_tokens,user_id,character varying(255),t,280
auth,saml_providers,entity_id,text,f,-1
auth,saml_relay_states,request_id,text,f,-1
auth,sessions,factor_id,uuid,t,140
auth,sso_providers,resource_id,text,t,-1
auth,users,instance_id,uuid,t,38
auth,webauthn_credentials,credential_id,bytea,f,-1
public,active_track_boosts,track_id,text,f,36
public,ai_generations,task_id,character varying(255),t,121
public,ai_tracks,album_id,uuid,t,215
public,ai_tracks,suno_id,character varying(255),t,215
public,challenge_entries,content_id,text,f,-1
public,city_event_participations,track_id,text,f,2
public,city_event_tracks,track_id,text,f,490
public,city_event_winners,track_id,text,f,3
public,comment_moderation,comment_id,uuid,f,3
public,comment_moderation,creator_id,uuid,f,3
public,comment_moderation,track_id,text,f,3
public,comment_reactions,comment_id,text,t,-1
public,comments,parent_id,uuid,t,14
public,conversations,last_message_id,text,t,3
public,creator_comment_filters,creator_id,uuid,f,-1
public,creator_posts,track_id,text,t,12
public,message_requests,requester_id,uuid,f,2
public,message_requests,target_id,uuid,f,2
public,messages,client_id,text,t,24
public,messages,reply_to_id,text,t,24
public,messages,shared_entity_id,text,t,24
public,meteo_bulletins,image_public_id,text,f,7
public,music_challenges,source_track_id,text,t,3
public,music_clips,source_track_id,text,f,5
public,music_clips,video_public_id,text,t,5
public,notifications,related_id,text,t,198
public,payments,stripe_payment_intent_id,text,t,-1
public,profiles,avatar_public_id,text,t,32
public,profiles,banner_public_id,text,t,32
public,push_subscriptions,user_id,uuid,f,15
public,recommendation_impressions,content_id,text,f,3919
public,recommendation_impressions,session_id,text,t,3919
public,recommendation_impressions,user_id,uuid,t,3919
public,subscriptions,stripe_customer_id,text,t,5
public,subscriptions,stripe_subscription_id,text,t,5
public,synaura_tv_settings,mux_live_stream_id,text,t,1
public,synaura_tv_settings,mux_playback_id,text,t,1
public,track_events,artist_id,uuid,t,44690
public,track_events,session_id,text,t,44690
public,track_events,track_id,text,f,44690
public,track_events,user_id,uuid,t,44690
public,track_moment_reactions,track_id,text,f,10
public,track_moment_reactions,user_id,uuid,f,10
public,track_remixes,child_track_id,text,f,-1
public,track_remixes,creator_id,uuid,f,-1
public,track_remixes,source_track_id,text,f,-1
public,track_stats,track_id,text,f,224
public,track_waveforms,track_id,text,f,160
public,tracks,album_id,uuid,t,232
public,tracks,audio_public_id,text,t,232
public,tracks,cover_public_id,text,t,232
public,users,stripe_customer_id,text,t,4
public,users,stripe_subscription_id,text,t,4
