metric,value
active_track_boosts_without_track,1
ai_tracks_without_generation,0
auth_users_without_profile,6
duplicate_profiles_email_casefold,0
duplicate_profiles_username_casefold,0
duplicate_user_follow_pairs,0
message_requests_requester_without_profile,0
message_requests_target_without_profile,0
profiles_without_auth_user,0
public_users_without_auth_user,0
push_subscriptions_without_profile,0
track_moment_reactions_without_content,0
track_stats_without_track,14
track_waveforms_without_track,0
tracks_creator_user_mismatch,0
tracks_creator_without_profile,0
tracks_without_creator_id,0
tracks_without_user_id,232
