schema_name,table_name,policy_name,permissive,roles,command,using_expression,check_expression
public,account_private,Account owners can create private data,PERMISSIVE,{authenticated},INSERT,,"((( SELECT auth.uid() AS uid) = user_id) AND (COALESCE(( SELECT (auth.jwt() ->> 'aal'::text)), 'aal1'::text) = 'aal2'::text))"
public,account_private,Account owners can read private data,PERMISSIVE,{authenticated},SELECT,"((( SELECT auth.uid() AS uid) = user_id) AND (COALESCE(( SELECT (auth.jwt() ->> 'aal'::text)), 'aal1'::text) = 'aal2'::text))",
public,account_private,Account owners can update private data,PERMISSIVE,{authenticated},UPDATE,"((( SELECT auth.uid() AS uid) = user_id) AND (COALESCE(( SELECT (auth.jwt() ->> 'aal'::text)), 'aal1'::text) = 'aal2'::text))","((( SELECT auth.uid() AS uid) = user_id) AND (COALESCE(( SELECT (auth.jwt() ->> 'aal'::text)), 'aal1'::text) = 'aal2'::text))"
public,admin_broadcasts,Service role full access broadcasts,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),
public,ai_credit_balances,read_own_ai_credits,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),
public,ai_generations,Users can create own ai generations,PERMISSIVE,{public},INSERT,,(auth.uid() = user_id)
public,ai_generations,Users can delete own ai generations,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),
public,ai_generations,Users can delete their own generations,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),
public,ai_generations,Users can insert their own generations,PERMISSIVE,{public},INSERT,,(auth.uid() = user_id)
public,ai_generations,Users can update own ai generations,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),
public,ai_generations,Users can update their own generations,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),
public,ai_generations,Users can view own ai generations,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),
public,ai_generations,Users can view their own generations,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),
public,ai_playlist_tracks,Users can delete tracks from their playlists,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM ai_playlists
  WHERE ((ai_playlists.id = ai_playlist_tracks.playlist_id) AND (ai_playlists.user_id = auth.uid()))))",
public,ai_playlist_tracks,Users can insert tracks in their playlists,PERMISSIVE,{public},INSERT,,"(EXISTS ( SELECT 1
   FROM ai_playlists
  WHERE ((ai_playlists.id = ai_playlist_tracks.playlist_id) AND (ai_playlists.user_id = auth.uid()))))"
public,ai_playlist_tracks,Users can view tracks in their playlists,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM ai_playlists
  WHERE ((ai_playlists.id = ai_playlist_tracks.playlist_id) AND (ai_playlists.user_id = auth.uid()))))",
public,ai_playlists,Users can delete their own playlists,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),
public,ai_playlists,Users can insert their own playlists,PERMISSIVE,{public},INSERT,,(auth.uid() = user_id)
public,ai_playlists,Users can update their own playlists,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),
public,ai_playlists,Users can view their own playlists,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),
public,ai_track_likes,Users can delete their own likes,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),
public,ai_track_likes,Users can insert their own likes,PERMISSIVE,{public},INSERT,,(auth.uid() = user_id)
public,ai_track_likes,Users can view all likes,PERMISSIVE,{public},SELECT,true,
public,ai_tracks,Users can delete tracks from their generations,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM ai_generations
  WHERE ((ai_generations.id = ai_tracks.generation_id) AND (ai_generations.user_id = auth.uid()))))",
public,ai_tracks,Users can insert tracks for their generations,PERMISSIVE,{public},INSERT,,"(EXISTS ( SELECT 1
   FROM ai_generations
  WHERE ((ai_generations.id = ai_tracks.generation_id) AND (ai_generations.user_id = auth.uid()))))"
public,ai_tracks,Users can insert tracks to their generations,PERMISSIVE,{public},INSERT,,"(EXISTS ( SELECT 1
   FROM ai_generations
  WHERE ((ai_generations.id = ai_tracks.generation_id) AND (ai_generations.user_id = auth.uid()))))"
public,ai_tracks,Users can update their own tracks,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM ai_generations
  WHERE ((ai_generations.id = ai_tracks.generation_id) AND (ai_generations.user_id = auth.uid()))))",
public,ai_tracks,Users can update tracks from their generations,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM ai_generations
  WHERE ((ai_generations.id = ai_tracks.generation_id) AND (ai_generations.user_id = auth.uid()))))",
public,ai_tracks,Users can view tracks from their generations,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM ai_generations
  WHERE ((ai_generations.id = ai_tracks.generation_id) AND (ai_generations.user_id = auth.uid()))))",
public,ai_usage_stats,Users can insert their own stats,PERMISSIVE,{public},INSERT,,(auth.uid() = user_id)
public,ai_usage_stats,Users can update their own stats,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),
public,ai_usage_stats,Users can view their own stats,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),
public,city_event_participations,City participations are server managed,PERMISSIVE,"{anon,authenticated}",ALL,false,false
public,city_event_tracks,City event tracks are server managed,PERMISSIVE,"{anon,authenticated}",ALL,false,false
public,city_event_votes,City votes are server managed,PERMISSIVE,"{anon,authenticated}",ALL,false,false
public,city_event_winners,City winners are server managed,PERMISSIVE,"{anon,authenticated}",ALL,false,false
public,city_events,City events are server managed,PERMISSIVE,"{anon,authenticated}",ALL,false,false
public,city_user_rewards,City rewards are server managed,PERMISSIVE,"{anon,authenticated}",ALL,false,false
public,comment_likes,Comment likes are viewable by everyone,PERMISSIVE,{public},SELECT,true,
public,comment_likes,Users can like comments,PERMISSIVE,{public},INSERT,,(auth.uid() = user_id)
public,comment_likes,Users can unlike their own likes,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),
public,comments,Comments are viewable by everyone,PERMISSIVE,{public},SELECT,true,
public,comments,Users can create comments,PERMISSIVE,{public},INSERT,,(auth.uid() = user_id)
public,comments,Users can delete their own comments,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),
public,comments,Users can update their own comments,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),
public,conversation_participants,Conversation members can read participants,PERMISSIVE,{authenticated},SELECT,synaura_private.is_conversation_member(conversation_id),
public,conversation_realtime_events,Conversation members can publish ephemeral events,PERMISSIVE,{authenticated},INSERT,,((user_id = ( SELECT auth.uid() AS uid)) AND (expires_at > now()) AND (expires_at <= (now() + '00:02:00'::interval)) AND synaura_private.is_conversation_member(conversation_id))
public,conversation_realtime_events,Conversation members can read ephemeral events,PERMISSIVE,{authenticated},SELECT,((expires_at > now()) AND synaura_private.is_conversation_member(conversation_id)),
public,conversation_rooms,Conversation managers can create rooms,PERMISSIVE,{authenticated},INSERT,,"(EXISTS ( SELECT 1
   FROM conversation_participants participant
  WHERE ((participant.conversation_id = conversation_rooms.conversation_id) AND (participant.user_id = ( SELECT auth.uid() AS uid)) AND (participant.role = ANY (ARRAY['owner'::text, 'moderator'::text])))))"
public,conversation_rooms,Conversation managers can delete rooms,PERMISSIVE,{authenticated},DELETE,"(EXISTS ( SELECT 1
   FROM conversation_participants participant
  WHERE ((participant.conversation_id = conversation_rooms.conversation_id) AND (participant.user_id = ( SELECT auth.uid() AS uid)) AND (participant.role = ANY (ARRAY['owner'::text, 'moderator'::text])))))",
