rolname,rolsuper,rolinherit,rolcreaterole,rolcreatedb,rolcanlogin,rolreplication,rolbypassrls,rolconnlimit
anon,f,t,f,f,f,f,f,-1
authenticated,f,t,f,f,f,f,f,-1
authenticator,f,f,f,f,t,f,f,-1
cli_login_postgres,f,f,f,f,t,f,f,-1
dashboard_user,f,t,t,t,f,t,f,-1
pgbouncer,f,t,f,f,t,f,f,-1
postgres,t,t,t,t,t,t,t,-1
service_role,f,t,f,f,f,f,t,-1
supabase_admin,t,t,t,t,t,t,t,-1
supabase_auth_admin,f,f,t,f,t,f,f,-1
supabase_etl_admin,f,t,f,f,t,t,t,-1
supabase_privileged_role,f,t,f,f,f,f,f,-1
supabase_read_only_user,f,t,f,f,t,f,t,-1
supabase_realtime_admin,f,f,f,f,f,f,f,-1
supabase_replication_admin,f,t,f,f,t,t,f,-1
supabase_storage_admin,f,f,t,f,t,f,f,-1
synaura_app,f,t,f,f,t,f,t,-1
