schema_name,routine_name,identity_arguments,routine_kind,result_type,language,volatility,security_definer,leakproof,strict,runtime_config,owner,acl
auth,email,,function,text,sql,s,f,f,f,,supabase_auth_admin,"{=X/supabase_auth_admin,supabase_auth_admin=X/supabase_auth_admin,dashboard_user=X/supabase_auth_admin,synaura_app=X/supabase_auth_admin}"
auth,jwt,,function,jsonb,sql,s,f,f,f,,supabase_auth_admin,"{=X/supabase_auth_admin,supabase_auth_admin=X/supabase_auth_admin,postgres=X/supabase_auth_admin,dashboard_user=X/supabase_auth_admin,synaura_app=X/supabase_auth_admin}"
auth,role,,function,text,sql,s,f,f,f,,supabase_auth_admin,"{=X/supabase_auth_admin,supabase_auth_admin=X/supabase_auth_admin,dashboard_user=X/supabase_auth_admin,synaura_app=X/supabase_auth_admin}"
auth,uid,,function,uuid,sql,s,f,f,f,,supabase_auth_admin,"{=X/supabase_auth_admin,supabase_auth_admin=X/supabase_auth_admin,dashboard_user=X/supabase_auth_admin,synaura_app=X/supabase_auth_admin}"
extensions,armor,bytea,function,text,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,armor,"bytea, text[], text[]",function,text,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,crypt,"text, text",function,text,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,dearmor,text,function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,decrypt,"bytea, bytea, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,decrypt_iv,"bytea, bytea, bytea, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,digest,"bytea, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,digest,"text, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,encrypt,"bytea, bytea, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
