schema_name,owner,acl
auth,supabase_admin,"{supabase_admin=UC/supabase_admin,anon=U/supabase_admin,authenticated=U/supabase_admin,service_role=U/supabase_admin,supabase_auth_admin=UC/supabase_admin,dashboard_user=UC/supabase_admin,postgres=U/supabase_admin,synaura_app=U/supabase_admin}"
extensions,postgres,"{postgres=UC/postgres,anon=U/postgres,authenticated=U/postgres,service_role=U/postgres,dashboard_user=UC/postgres}"
graphql,supabase_admin,
graphql_public,supabase_admin,
information_schema,postgres,"{postgres=UC/postgres,=U/postgres}"
pg_catalog,postgres,"{postgres=UC/postgres,=U/postgres}"
pgbouncer,pgbouncer,
public,pg_database_owner,"{pg_database_owner=UC/pg_database_owner,=U/pg_database_owner,postgres=U/pg_database_owner,anon=U/pg_database_owner,authenticated=U/pg_database_owner,service_role=U/pg_database_owner,synaura_app=U/pg_database_owner}"
realtime,supabase_admin,"{supabase_admin=UC/supabase_admin,postgres=U*/supabase_admin,anon=U/supabase_admin,authenticated=U/supabase_admin,service_role=U/supabase_admin,supabase_realtime_admin=UC/supabase_admin}"
storage,supabase_admin,"{supabase_admin=UC/supabase_admin,postgres=U*/supabase_admin,anon=U/supabase_admin,authenticated=U/supabase_admin,service_role=U/supabase_admin,supabase_storage_admin=UC/supabase_admin,dashboard_user=UC/supabase_admin}"
supabase_migrations,postgres,
synaura_private,postgres,"{postgres=UC/postgres,authenticated=U/postgres}"
vault,supabase_admin,"{supabase_admin=UC/supabase_admin,postgres=U*/supabase_admin,service_role=U/supabase_admin}"
