schema_name,table_name,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_live_tup,n_dead_tup,last_analyze,last_autoanalyze
auth,audit_log_entries,4,4588,0,0,0,0,0,0,0,,
auth,custom_oauth_providers,4,0,0,0,0,0,0,0,0,,
auth,flow_state,4,8,0,0,0,0,0,0,0,,
auth,identities,5,200,0,0,0,0,0,0,0,,
auth,instances,4,0,0,0,0,0,0,0,0,,
auth,mfa_amr_claims,5,715,0,0,0,0,0,0,0,,
auth,mfa_challenges,4,8,0,0,0,0,0,0,0,,
auth,mfa_factors,138,138,0,0,0,0,0,0,0,,
auth,oauth_authorizations,4,0,0,0,0,0,0,0,0,,
auth,oauth_client_states,4,0,0,0,0,0,0,0,0,,
auth,oauth_clients,4,0,0,0,0,0,0,0,0,,
auth,oauth_consents,4,0,0,0,0,0,0,0,0,,
auth,one_time_tokens,4,0,0,0,0,0,0,0,0,,
auth,refresh_tokens,4,1136,4,4,1,1,0,1,1,,
auth,saml_providers,4,0,0,0,0,0,0,0,0,,
auth,saml_relay_states,4,0,0,0,0,0,0,0,0,,
auth,schema_migrations,4,308,0,0,0,0,0,0,0,,
auth,sessions,140,19740,2,2,0,1,0,0,1,,
auth,sso_domains,4,0,0,0,0,0,0,0,0,,
auth,sso_providers,4,0,0,0,0,0,0,0,0,,
auth,users,143,5434,0,0,0,0,0,0,0,,
auth,webauthn_challenges,4,0,0,0,0,0,0,0,0,,
auth,webauthn_credentials,4,0,0,0,0,0,0,0,0,,
public,account_private,5,160,0,0,0,0,0,0,0,,
public,active_artist_boosts,133,1064,0,0,0,0,0,0,0,,
public,active_track_boosts,139,5004,0,0,0,0,0,0,0,,
public,admin_broadcasts,4,20,0,0,0,0,0,0,0,,
public,ai_credit_balances,9,288,0,0,0,0,0,0,0,,
public,ai_generations,776,93896,2323,2458,0,0,0,0,0,,
public,ai_playlist_tracks,4,0,0,0,0,0,0,0,0,,
public,ai_playlists,4,0,0,0,0,0,0,0,0,,
public,ai_track_likes,5,55,0,0,0,0,0,0,0,,
public,ai_tracks,266,57190,1240,309,0,132,0,215,0,,2026-09-07 14:43:11.648662+00
public,ai_usage_stats,4,220,0,0,0,0,0,0,0,,
public,boosters,5,35,0,0,0,0,0,0,0,,
public,challenge_entries,4,0,9,0,0,0,0,0,0,,
public,city_event_participations,8,16,0,0,0,0,0,0,0,,
public,city_event_tracks,4,2052,48,82,1,39,0,1,12,,
public,city_event_votes,8,48,0,0,0,0,0,0,0,,
public,city_event_winners,8,24,0,0,0,0,0,0,0,,
public,city_events,4,672,29,49,0,24,0,0,21,,
public,city_user_rewards,8,24,0,0,0,0,0,0,0,,
public,comment_likes,4,0,0,0,0,0,0,0,0,,
public,comment_moderation,4,12,0,0,0,0,0,0,0,,
public,comment_reactions,4,0,0,0,0,0,0,0,0,,
public,comments,41,574,0,0,0,0,0,0,0,,
public,conversation_participants,885,6195,0,0,0,1,0,0,1,,
public,conversation_realtime_events,4,8,0,0,0,0,0,0,0,,
public,conversation_rooms,5,10,0,0,0,0,0,0,0,,
public,conversations,5,15,0,0,0,0,0,0,0,,
public,creator_comment_filters,4,0,0,0,0,0,0,0,0,,
public,creator_posts,50,600,0,0,0,0,0,0,0,,
public,credit_ledger,4,396,0,0,0,0,0,0,0,,
public,editorial_collections,5,0,8,0,0,0,0,0,0,,
public,faq_items,4,432,0,0,0,0,0,0,0,,
public,faq_votes,4,0,0,0,0,0,0,0,0,,
public,follow_requests,4,0,0,0,0,0,0,0,0,,
public,forum_post_likes,4,8,0,0,0,0,0,0,0,,
public,forum_posts,4,40,0,0,0,0,0,0,0,,
public,forum_replies,4,32,0,0,0,0,0,0,0,,
public,forum_reply_likes,4,0,0,0,0,0,0,0,0,,
public,friendships,5,10,0,0,0,0,0,0,0,,
public,message_attachments,5,0,0,0,0,0,0,0,0,,
public,message_hidden_users,4,0,1,0,0,0,0,0,0,,
public,message_pins,4,0,1,0,0,0,0,0,0,,
public,message_reactions,5,10,0,0,0,0,0,0,0,,
public,message_requests,882,1764,0,0,0,0,0,0,0,,
public,messages,883,21192,0,0,0,0,0,0,0,,
public,meteo_alerts,4,0,0,0,0,0,0,0,0,,
public,meteo_bulletins,4,28,0,0,0,0,0,0,0,,
public,meteo_comments,4,0,0,0,0,0,0,0,0,,
public,meteo_reactions,4,4,0,0,0,0,0,0,0,,
public,meteo_settings,4,8,0,0,0,0,0,0,0,,
public,meteo_team_members,4,8,0,0,0,0,0,0,0,,
public,meteo_views,4,11452,0,0,0,0,0,0,0,,
public,missions,4,32,0,0,0,0,0,0,0,,
public,music_challenges,7,21,0,0,0,0,0,0,0,,
public,music_clips,7,35,0,0,0,0,0,0,0,,
public,notification_preferences,4,16,0,0,0,0,0,0,0,,
public,notifications,18,3600,0,0,0,0,0,0,0,,
public,password_resets,4,84,0,0,0,0,0,0,0,,
public,payments,4,0,0,0,0,0,0,0,0,,
public,play_stats,4,0,0,0,0,0,0,0,0,,
public,playlist_tracks,31,4092,0,0,0,0,0,0,0,,
public,playlists,269,1883,0,0,0,0,0,0,0,,
public,post_comments,40,120,0,0,0,0,0,0,0,,
public,post_likes,50,800,0,0,0,0,0,0,0,,
