schema_name,type_name,type_kind,owner,base_type,not_null,default_expression,enum_values,acl
auth,aal_level,enum,supabase_auth_admin,-,f,,aal1 | aal2 | aal3,
auth,audit_log_entries,composite,supabase_auth_admin,-,f,,,
auth,code_challenge_method,enum,supabase_auth_admin,-,f,,s256 | plain,
auth,custom_oauth_providers,composite,supabase_auth_admin,-,f,,,
auth,factor_status,enum,supabase_auth_admin,-,f,,unverified | verified,
auth,factor_type,enum,supabase_auth_admin,-,f,,totp | webauthn | phone,
auth,flow_state,composite,supabase_auth_admin,-,f,,,
auth,identities,composite,supabase_auth_admin,-,f,,,
auth,instances,composite,supabase_auth_admin,-,f,,,
auth,mfa_amr_claims,composite,supabase_auth_admin,-,f,,,
auth,mfa_challenges,composite,supabase_auth_admin,-,f,,,
auth,mfa_factors,composite,supabase_auth_admin,-,f,,,
auth,oauth_authorization_status,enum,supabase_auth_admin,-,f,,pending | approved | denied | expired,
auth,oauth_authorizations,composite,supabase_auth_admin,-,f,,,
auth,oauth_client_states,composite,supabase_auth_admin,-,f,,,
auth,oauth_client_type,enum,supabase_auth_admin,-,f,,public | confidential,
auth,oauth_clients,composite,supabase_auth_admin,-,f,,,
auth,oauth_consents,composite,supabase_auth_admin,-,f,,,
auth,oauth_registration_type,enum,supabase_auth_admin,-,f,,dynamic | manual,
auth,oauth_response_type,enum,supabase_auth_admin,-,f,,code,
auth,one_time_token_type,enum,supabase_auth_admin,-,f,,confirmation_token | reauthentication_token | recovery_token | email_change_token_new | email_change_token_current | phone_change_token,
auth,one_time_tokens,composite,supabase_auth_admin,-,f,,,
auth,refresh_tokens,composite,supabase_auth_admin,-,f,,,
auth,saml_providers,composite,supabase_auth_admin,-,f,,,
auth,saml_relay_states,composite,supabase_auth_admin,-,f,,,
auth,schema_migrations,composite,supabase_auth_admin,-,f,,,
auth,sessions,composite,supabase_auth_admin,-,f,,,
auth,sso_domains,composite,supabase_auth_admin,-,f,,,
auth,sso_providers,composite,supabase_auth_admin,-,f,,,
auth,users,composite,supabase_auth_admin,-,f,,,
auth,webauthn_challenges,composite,supabase_auth_admin,-,f,,,
auth,webauthn_credentials,composite,supabase_auth_admin,-,f,,,
extensions,pg_stat_statements,composite,postgres,-,f,,,
extensions,pg_stat_statements_info,composite,postgres,-,f,,,
public,account_private,composite,postgres,-,f,,,
public,active_artist_boosts,composite,postgres,-,f,,,
public,active_track_boosts,composite,postgres,-,f,,,
public,admin_broadcasts,composite,postgres,-,f,,,
public,ai_credit_balances,composite,postgres,-,f,,,
