schema_name,table_name,constraint_name,foreign_key_columns,target_schema,target_table,definition
auth,mfa_challenges,mfa_challenges_auth_factor_id_fkey,{factor_id},auth,mfa_factors,FOREIGN KEY (factor_id) REFERENCES auth.mfa_factors(id) ON DELETE CASCADE
auth,oauth_authorizations,oauth_authorizations_client_id_fkey,{client_id},auth,oauth_clients,FOREIGN KEY (client_id) REFERENCES auth.oauth_clients(id) ON DELETE CASCADE
auth,oauth_authorizations,oauth_authorizations_user_id_fkey,{user_id},auth,users,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
auth,saml_relay_states,saml_relay_states_flow_state_id_fkey,{flow_state_id},auth,flow_state,FOREIGN KEY (flow_state_id) REFERENCES auth.flow_state(id) ON DELETE CASCADE
public,active_artist_boosts,active_artist_boosts_booster_id_fkey,{booster_id},public,boosters,FOREIGN KEY (booster_id) REFERENCES boosters(id) ON DELETE RESTRICT
public,active_artist_boosts,active_artist_boosts_user_id_fkey,{user_id},auth,users,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL
public,active_track_boosts,active_track_boosts_booster_id_fkey,{booster_id},public,boosters,FOREIGN KEY (booster_id) REFERENCES boosters(id) ON DELETE RESTRICT
public,active_track_boosts,active_track_boosts_user_id_fkey,{user_id},auth,users,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL
public,admin_broadcasts,admin_broadcasts_admin_id_fkey,{admin_id},public,profiles,FOREIGN KEY (admin_id) REFERENCES profiles(id) ON DELETE SET NULL
public,ai_playlist_tracks,ai_playlist_tracks_track_id_fkey,{track_id},public,ai_tracks,FOREIGN KEY (track_id) REFERENCES ai_tracks(id) ON DELETE CASCADE
public,comment_reactions,comment_reactions_user_id_fkey,{user_id},public,profiles,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
public,editorial_collections,editorial_collections_created_by_fkey,{created_by},public,profiles,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
public,faq_votes,faq_votes_user_id_fkey,{user_id},auth,users,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
public,follow_requests,follow_requests_target_id_fkey,{target_id},public,profiles,FOREIGN KEY (target_id) REFERENCES profiles(id) ON DELETE CASCADE
public,forum_post_likes,forum_post_likes_user_id_fkey,{user_id},auth,users,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
public,forum_replies,forum_replies_user_id_fkey,{user_id},auth,users,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
public,forum_reply_likes,forum_reply_likes_user_id_fkey,{user_id},auth,users,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
public,meteo_alerts,meteo_alerts_sent_by_fkey,{sent_by},public,meteo_team_members,FOREIGN KEY (sent_by) REFERENCES meteo_team_members(id)
public,meteo_settings,meteo_settings_updated_by_fkey,{updated_by},auth,users,FOREIGN KEY (updated_by) REFERENCES auth.users(id)
public,meteo_team_members,meteo_team_members_invited_by_fkey,{invited_by},auth,users,FOREIGN KEY (invited_by) REFERENCES auth.users(id)
