category,file,line,call_kind,object,operation,rationale
A,app/api/account/delete/route.ts,25,from,profiles,SELECT,lecture applicative normale
A,app/api/account/delete/route.ts,35,from,tracks,SELECT,lecture applicative normale
A,app/api/account/delete/route.ts,46,from,creator_posts,SELECT,lecture applicative normale
A,app/api/account/delete/route.ts,47,from,music_clips,SELECT,lecture applicative normale
A,app/api/account/delete/route.ts,48,from,messages,SELECT,lecture applicative normale
A,app/api/account/delete/route.ts,49,from,ai_generations,SELECT,lecture applicative normale
A,app/api/account/delete/route.ts,50,from,conversation_participants,SELECT,lecture applicative normale
A,app/api/account/delete/route.ts,55,from,message_attachments,SELECT,lecture applicative normale
A,app/api/account/delete/route.ts,58,from,ai_tracks,SELECT,lecture applicative normale
B,app/api/account/delete/route.ts,111,from,(dynamic),DELETE,mutation applicative normale
B,app/api/account/delete/route.ts,119,from,comment_moderation,DELETE,mutation applicative normale
B,app/api/account/delete/route.ts,124,from,creator_comment_filters,DELETE,mutation applicative normale
B,app/api/account/delete/route.ts,132,from,ai_tracks,DELETE,mutation applicative normale
B,app/api/account/delete/route.ts,138,from,ai_generations,DELETE,mutation applicative normale
B,app/api/account/delete/route.ts,145,from,play_stats,DELETE,mutation applicative normale
B,app/api/account/delete/route.ts,151,from,profiles,DELETE,mutation applicative normale
C,app/api/admin/challenges/[id]/route.ts,37,from,music_challenges,SELECT,operation administrative protegee
C,app/api/admin/challenges/[id]/route.ts,131,from,music_challenges,UPDATE,operation administrative protegee
C,app/api/admin/challenges/[id]/route.ts,146,from,music_challenges,DELETE,operation administrative protegee
C,app/api/admin/challenges/route.ts,34,from,music_challenges,SELECT,operation administrative protegee
C,app/api/admin/challenges/route.ts,112,from,music_challenges,INSERT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/route.ts,25,from,editorial_collections,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/route.ts,32,from,playlists,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/route.ts,115,from,playlists,UPDATE,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/route.ts,152,from,editorial_collections,UPDATE,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/route.ts,179,from,playlists,UPDATE,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/route.ts,209,from,playlists,DELETE,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,67,from,editorial_collections,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,83,from,playlists,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,99,from,playlist_tracks,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,116,from,playlist_tracks,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,150,from,tracks,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,155,from,playlist_tracks,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,162,from,playlist_tracks,INSERT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,224,from,tracks,INSERT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,227,from,tracks,INSERT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,236,from,playlist_tracks,INSERT,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,243,from,tracks,DELETE,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,271,from,playlist_tracks,DELETE,operation administrative protegee
C,app/api/admin/editorial-collections/[id]/tracks/route.ts,272,from,tracks,DELETE,operation administrative protegee
C,app/api/admin/editorial-collections/route.ts,23,from,editorial_collections,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/route.ts,36,from,playlist_tracks,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/route.ts,51,from,editorial_collections,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/route.ts,64,from,playlists,SELECT,operation administrative protegee
C,app/api/admin/editorial-collections/route.ts,152,from,playlists,INSERT,operation administrative protegee
C,app/api/admin/editorial-collections/route.ts,155,from,playlists,INSERT,operation administrative protegee
C,app/api/admin/editorial-collections/route.ts,177,from,editorial_collections,INSERT,operation administrative protegee
C,app/api/admin/editorial-collections/route.ts,201,from,playlists,DELETE,operation administrative protegee
C,app/api/admin/emails/route.ts,91,from,admin_email_campaigns,INSERT,operation administrative protegee
C,app/api/admin/emails/route.ts,144,from,admin_email_campaigns,SELECT,operation administrative protegee
C,app/api/admin/migrate-albums/route.ts,13,from,playlists,SELECT,operation administrative protegee
C,app/api/admin/migrate-albums/route.ts,22,from,playlists,SELECT,operation administrative protegee
C,app/api/admin/migrate-albums/route.ts,31,from,playlist_tracks,SELECT,operation administrative protegee
C,app/api/admin/migrate-albums/route.ts,33,from,tracks,SELECT,operation administrative protegee
C,app/api/admin/migrate-albums/route.ts,39,from,playlists,UPDATE,operation administrative protegee
C,app/api/admin/notifications/route.ts,21,from,admin_broadcasts,SELECT,operation administrative protegee
C,app/api/admin/notifications/route.ts,33,from,notifications,SELECT,operation administrative protegee
C,app/api/admin/notifications/route.ts,37,from,notifications,SELECT,operation administrative protegee
C,app/api/admin/notifications/route.ts,42,from,push_subscriptions,SELECT,operation administrative protegee
C,app/api/admin/notifications/route.ts,48,from,admin_broadcasts,SELECT,operation administrative protegee
C,app/api/admin/notifications/route.ts,52,from,notifications,SELECT,operation administrative protegee
C,app/api/admin/star-academy/[id]/route.ts,27,from,star_academy_applications,SELECT,operation administrative protegee
C,app/api/admin/star-academy/[id]/route.ts,47,from,profiles,UPDATE,operation administrative protegee
C,app/api/admin/star-academy/[id]/route.ts,59,from,star_academy_applications,UPDATE,operation administrative protegee
C,app/api/admin/star-academy/[id]/route.ts,109,from,star_academy_applications,UPDATE,operation administrative protegee
C,app/api/admin/star-academy/[id]/route.ts,130,from,star_academy_applications,SELECT,operation administrative protegee
C,app/api/admin/star-academy/[id]/route.ts,142,from,star_academy_applications,SELECT,operation administrative protegee
C,app/api/admin/star-academy/route.ts,16,from,star_academy_applications,SELECT,operation administrative protegee
C,app/api/admin/star-academy/staff/[id]/route.ts,57,from,star_academy_staff_applications,SELECT,operation administrative protegee
C,app/api/admin/star-academy/staff/[id]/route.ts,71,from,star_academy_staff_applications,UPDATE,operation administrative protegee
C,app/api/admin/star-academy/staff/[id]/route.ts,92,from,star_academy_staff_applications,UPDATE,operation administrative protegee
C,app/api/admin/star-academy/staff/[id]/route.ts,108,from,star_academy_staff_applications,SELECT,operation administrative protegee
C,app/api/admin/star-academy/staff/route.ts,16,from,star_academy_staff_applications,SELECT,operation administrative protegee
E,app/api/admin/tracks/fix-covers/route.ts,14,from,tracks,SELECT,diagnostic ou maintenance
E,app/api/admin/tracks/fix-covers/route.ts,29,from,tracks,UPDATE,diagnostic ou maintenance
E,app/api/admin/tracks/fix-covers/route.ts,51,from,tracks,SELECT,diagnostic ou maintenance
C,app/api/admin/users/route.ts,23,from,profiles,SELECT,operation administrative protegee
C,app/api/admin/users/route.ts,80,from,profiles,SELECT,operation administrative protegee
C,app/api/admin/users/route.ts,96,from,profiles,SELECT,operation administrative protegee
C,app/api/admin/users/route.ts,103,from,profiles,UPDATE,operation administrative protegee
A,app/api/ai/credits/route.ts,8,from,ai_credit_balances,SELECT,lecture applicative normale
A,app/api/ai/generations/[id]/trash/route.ts,23,from,ai_generations,SELECT,lecture applicative normale
B,app/api/ai/generations/[id]/trash/route.ts,39,from,ai_generations,UPDATE,mutation applicative normale
A,app/api/ai/generations/[id]/visibility/route.ts,31,from,ai_generations,SELECT,lecture applicative normale
A,app/api/ai/generations/[id]/visibility/route.ts,45,from,ai_tracks,SELECT,lecture applicative normale
B,app/api/ai/generations/[id]/visibility/route.ts,56,from,ai_generations,UPDATE,mutation applicative normale
B,app/api/ai/generations/[id]/visibility/route.ts,74,from,ai_tracks,UPDATE,mutation applicative normale
A,app/api/ai/library/route.ts,18,from,ai_generations,SELECT,lecture applicative normale
A,app/api/ai/library/tracks/route.ts,18,from,ai_generations,SELECT,lecture applicative normale
A,app/api/ai/library/tracks/route.ts,36,from,ai_track_likes,SELECT,lecture applicative normale
A,app/api/ai/quota/route.ts,13,from,profiles,SELECT,lecture applicative normale
A,app/api/ai/quota/route.ts,23,from,ai_generations,SELECT,lecture applicative normale
A,app/api/ai/quota/route.ts,33,from,ai_credit_balances,SELECT,lecture applicative normale
A,app/api/ai/status-simple/[taskId]/route.ts,16,from,ai_generations,SELECT,lecture applicative normale
A,app/api/ai/status/[taskId]/route.ts,17,from,ai_generations,SELECT,lecture applicative normale
A,app/api/ai/tags/suggestions/route.ts,37,from,ai_tracks,SELECT,lecture applicative normale
A,app/api/ai/tags/suggestions/route.ts,67,from,track_views,SELECT,lecture applicative normale
A,app/api/ai/tags/suggestions/route.ts,77,from,tracks,SELECT,lecture applicative normale
A,app/api/ai/tags/suggestions/route.ts,98,from,ai_tracks,SELECT,lecture applicative normale
A,app/api/ai/tracks/[id]/favorite/route.ts,24,from,ai_track_likes,SELECT,lecture applicative normale
A,app/api/ai/tracks/[id]/favorite/route.ts,37,from,ai_tracks,SELECT,lecture applicative normale
B,app/api/ai/tracks/[id]/favorite/route.ts,50,from,ai_track_likes,INSERT,mutation applicative normale
B,app/api/ai/tracks/[id]/favorite/route.ts,57,from,ai_track_likes,DELETE,mutation applicative normale
A,app/api/ai/tracks/[id]/route.ts,17,from,ai_tracks,SELECT,lecture applicative normale
B,app/api/ai/tracks/[id]/route.ts,42,from,ai_tracks,DELETE,mutation applicative normale
A,app/api/ai/tracks/[id]/route.ts,85,from,ai_tracks,SELECT,lecture applicative normale
B,app/api/ai/tracks/[id]/route.ts,107,from,ai_tracks,UPDATE,mutation applicative normale
A,app/api/ai/tracks/[id]/route.ts,132,from,ai_tracks,SELECT,lecture applicative normale
A,app/api/ai/tracks/[id]/visibility/route.ts,31,from,ai_tracks,SELECT,lecture applicative normale
B,app/api/ai/tracks/[id]/visibility/route.ts,60,from,ai_tracks,UPDATE,mutation applicative normale
B,app/api/ai/upload-source/route.ts,42,from,ai_generations,INSERT,mutation applicative normale
B,app/api/ai/upload-source/route.ts,74,from,ai_tracks,INSERT,mutation applicative normale
B,app/api/ai/upload-source/route.ts,79,from,ai_generations,DELETE,mutation applicative normale
B,app/api/ai/upload-source/route.ts,87,from,ai_tracks,UPDATE,mutation applicative normale
B,app/api/ai/upload-source/route.ts,91,from,ai_generations,UPDATE,mutation applicative normale
F,app/api/auth/count-users/route.ts,7,from,profiles,SELECT,authentification ou identite
B,app/api/billing/cancel-subscription/route.ts,25,from,profiles,UPDATE,mutation applicative normale
B,app/api/billing/confirm-subscription/route.ts,68,from,profiles,UPDATE,mutation applicative normale
B,app/api/billing/credits/verify/route.ts,37,rpc,ai_add_credits,MUTATION,mutation applicative normale
B,app/api/billing/downgrade-to-free/route.ts,24,from,profiles,UPDATE,mutation applicative normale
B,app/api/billing/verify-checkout/route.ts,61,from,profiles,UPDATE,mutation applicative normale
D,app/api/billing/webhook/route.ts,50,from,profiles,UPDATE,webhook/callback externe
D,app/api/billing/webhook/route.ts,64,rpc,ai_add_credits,MUTATION,webhook/callback externe
D,app/api/billing/webhook/route.ts,81,from,profiles,SELECT,webhook/callback externe
D,app/api/billing/webhook/route.ts,106,rpc,ai_add_credits,MUTATION,webhook/callback externe
A,app/api/boosters/active/route.ts,18,from,active_track_boosts,SELECT,lecture applicative normale
A,app/api/boosters/claim-pack/route.ts,77,from,profiles,SELECT,lecture applicative normale
A,app/api/boosters/claim-pack/route.ts,101,from,user_booster_pack_claims,SELECT,lecture applicative normale
A,app/api/boosters/claim-pack/route.ts,116,from,boosters,SELECT,lecture applicative normale
B,app/api/boosters/claim-pack/route.ts,129,from,user_boosters,INSERT,mutation applicative normale
B,app/api/boosters/claim-pack/route.ts,139,from,user_booster_open_history,INSERT,mutation applicative normale
B,app/api/boosters/claim-pack/route.ts,154,from,user_booster_pack_claims,UPSERT,mutation applicative normale
A,app/api/boosters/history/route.ts,21,from,user_booster_open_history,SELECT,lecture applicative normale
A,app/api/boosters/my-active/route.ts,18,from,active_track_boosts,SELECT,lecture applicative normale
A,app/api/boosters/my-active/route.ts,24,from,active_artist_boosts,SELECT,lecture applicative normale
A,app/api/boosters/open/route.ts,76,from,profiles,SELECT,lecture applicative normale
A,app/api/boosters/open/route.ts,85,from,user_booster_daily,SELECT,lecture applicative normale
A,app/api/boosters/open/route.ts,114,from,user_booster_pity,SELECT,lecture applicative normale
A,app/api/boosters/open/route.ts,134,from,boosters,SELECT,lecture applicative normale
B,app/api/boosters/open/route.ts,147,from,user_boosters,INSERT,mutation applicative normale
B,app/api/boosters/open/route.ts,158,from,user_booster_open_history,INSERT,mutation applicative normale
B,app/api/boosters/open/route.ts,182,from,user_booster_pity,UPSERT,mutation applicative normale
B,app/api/boosters/open/route.ts,187,from,user_booster_daily,UPSERT,mutation applicative normale
A,app/api/boosters/route.ts,22,from,profiles,SELECT,lecture applicative normale
A,app/api/boosters/route.ts,28,from,user_boosters,SELECT,lecture applicative normale
A,app/api/boosters/route.ts,33,from,user_booster_daily,SELECT,lecture applicative normale
A,app/api/boosters/route.ts,55,from,user_booster_pity,SELECT,lecture applicative normale
A,app/api/boosters/route.ts,72,from,user_booster_pack_claims,SELECT,lecture applicative normale
A,app/api/boosters/use/route.ts,31,from,user_boosters,SELECT,lecture applicative normale
A,app/api/boosters/use/route.ts,57,from,active_artist_boosts,SELECT,lecture applicative normale
B,app/api/boosters/use/route.ts,74,from,active_artist_boosts,UPDATE,mutation applicative normale
B,app/api/boosters/use/route.ts,80,from,active_artist_boosts,INSERT,mutation applicative normale
B,app/api/boosters/use/route.ts,87,from,user_boosters,UPDATE,mutation applicative normale
A,app/api/boosters/use/route.ts,117,from,tracks,SELECT,lecture applicative normale
A,app/api/boosters/use/route.ts,137,from,active_track_boosts,SELECT,lecture applicative normale
