file,category,evidence,targets,targets_in_production,sha256
scripts/add-meteo-views-table.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.meteo_views,public.meteo_views,c0d91fe32d39295b0a2dccbad1ac0d702ad24c54ab0cb4c78a69da14cd7ce220
scripts/add-scheduled-to-meteo-bulletins.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.meteo_bulletins,public.meteo_bulletins,c0f982fc742043be7ec9fdd6d92c928fbbfbe378fc0580eaa0bc388299b9b4f8
scripts/add-status-to-meteo-bulletins.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.meteo_bulletins,public.meteo_bulletins,b5509fc2d7e8ca3778be348709bb6dc67d66eda3d62f1fac5becddb60ed2b7a5
scripts/add_audio_quality_columns.sql,G,fichier vide; contenu identique a scripts/add_early_access_columns.sql,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
scripts/add_challenge_id_to_track_remixes.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.track_remixes,public.track_remixes,35ad6408d803078c160289a73ff6dbc728c2383ac4d9d5f24050c436e0522414
scripts/add_comment_moderation_tables.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.comments | public.comment_likes | public.comment_moderation | public.creator_comment_filters,public.comments | public.comment_likes | public.comment_moderation | public.creator_comment_filters,8fa7ba4a3e1e784658c1ba8e78edff51d39b6f8c34614e7bd908eccbeeab7fd3
scripts/add_early_access_columns.sql,G,fichier vide; contenu identique a scripts/add_audio_quality_columns.sql,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
scripts/add_featured_banner_column.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.tracks,public.tracks,324a57277cc0c54f0229fcb986386d1ea3b857346c19d32b834ce6c5257b7471
scripts/add_follow_counters.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.profiles | public.update_follow_counts | public.trigger_update_follow_counts,public.profiles | public.update_follow_counts | public.trigger_update_follow_counts,df6f66707bc440cae97633c94bdd1ace687e83b7c95e45334b4dc36290d026ba
scripts/add_lyrics_column.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.tracks,public.tracks,597e956259896593011e575e5086336177fc48fdaf207836b12dfbd97c03bbb9
scripts/add_lyrics_faqs.sql,E,"script de donnees ponctuel, pas une migration de structure fiable",,,9eb33648f3cf5f6e78ab9b53b086100ac427eef6184315b933d99afa9566a22e
